Time;Set robot speed along X axis;Set robot speed along Y axis;Set rotational robot velocity;1st motor set speed;2st motor set speed;3st motor set speed;1st motor position;2nd motor position;3rd motor position;1st motor velocity;2nd motor velocity;3rd motor velocity;1st motor current;2nd motor current;3rd motor current;X axis current;Y axis curent;Rotational current;X axis global position;Y axis global position;Angle;Delta X axis local position;Delta Y axis local position;Delta angle;
ms;m/s;m/s;rad/s;rad/s;rad/s;rad/s;ticks;ticks;ticks;rad/s;rad/s;rad/s;A;A;A;A;A;A;pix;pix;deg;mm;mm;deg;
t;xsetspeed;ysetspeed;setvel;m1setvel;m2setvel;m3setvel;m1pos;m2pos;m3pos;m1vel;m2vel;m3vel;m1cur;m2cur;m3cur;xcur;ycur;rotcur;xpos;ypos;ang;dx;dy;dang;
0.0115;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;0;0;1;0;0;0;0.025641;0.025641;0.025641;0;0;0;1170.1;942.079;55.5071;-0.465586;0.677612;-0.682484;
30.4373;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;0;0;1;0;0;0;0.025641;0.025641;0.025641;0;0;0;1170.1;942.079;55.5071;0;0;0;
62.3911;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;0;0;1;0;0;0;0.025641;0.025641;0.025641;0;0;0;1170.1;941.855;55.2233;0.234469;-0.337649;-0.283821;
93.9844;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;0;0;1;0;0;0;0.025641;0.025641;0.025641;0;0;0;1170.1;941.855;55.2233;-0;0;0;
126.005;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-598;497;41;-62.2035;53.7212;5.65487;1.53846;2.10256;0.333333;1.08003;-1.80372;0.299145;1170.55;941.855;55.564;-0.679291;-0.465748;0.340706;
156.991;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-1302;1075;66;-59.3761;56.5487;2.82743;1.17949;1.48718;0.358974;0.887692;-1.26518;0.222222;1170.32;941.407;55.6196;0.804126;-0.445981;0.0556641;
189.017;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-1668;1394;83;-67.8584;56.5487;2.82743;1.23077;1.66667;0.307692;0.887692;-1.41905;0.247863;1170.55;938.723;55.5639;2.44972;-4.30113;-0.0557861;
221.027;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-2366;2020;111;-65.031;53.7212;2.82743;1.05128;1;0.333333;0.798923;-0.906077;0.0940171;1170.55;936.709;55.2773;2.10735;-3.04083;-0.286564;
252.02;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-3085;2679;145;-59.3761;59.3761;2.82743;1.05128;1.05128;0.282051;0.769333;-0.957359;0.0940171;1170.55;934.247;55.5639;2.55697;-3.72931;0.286564;
284.138;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-3807;3341;176;-62.2035;59.3761;2.82743;1.10256;0.820513;0.358974;0.843308;-0.794897;0.025641;1171.22;931.786;55.5656;1.5379;-4.42798;0.00174713;
314.971;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-4155;3669;194;-62.2035;56.5487;2.82743;0.923077;0.974359;0.230769;0.665769;-0.880436;0.0940171;1171.89;929.101;55.5126;1.77475;-4.76538;-0.0529861;
347.011;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-4874;4358;245;-65.031;59.3761;5.65487;0.948718;0.692308;0.0769231;0.591795;-0.752077;-0.0598291;1172.11;926.416;56.1367;2.40666;-4.3255;0.624081;
378.881;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-5597;5039;290;-62.2035;59.3761;2.82743;1.05128;0.666667;0.205128;0.724949;-0.726436;-0.0598291;1172.11;924.403;55.8511;2.07673;-3.06169;-0.285587;
410.974;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-6294;5692;334;-62.2035;53.7212;2.82743;1.10256;1.17949;0.128205;0.710154;-1.11118;0.0683761;1172.11;922.389;56.1367;2.06144;-3.072;0.285568;
443.057;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-6670;6006;358;-67.8584;56.5487;2.82743;0.897436;1.02564;0.102564;0.577;-0.948795;0.0769231;1172.56;920.599;56.1382;1.14845;-3.18971;0.0015564;
474.808;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-7376;6660;402;-62.2035;56.5487;5.65487;0.871795;1.17949;0.230769;0.63618;-1.00018;0.179487;1172.34;917.914;56.1951;3.08669;-3.8698;0.056839;
506.982;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-8109;7301;436;-62.2035;59.3761;2.82743;0.871795;0.74359;0.282051;0.665769;-0.692359;0.0512821;1172.79;915.005;55.7981;2.32277;-4.88245;-0.396935;
539.02;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-8828;7975;477;-56.5487;59.3761;2.82743;0.948718;0.794872;0.25641;0.695359;-0.760718;0.034188;1172.56;912.768;56.0825;2.63528;-3.18151;0.284397;
571.002;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-9174;8302;496;-62.2035;59.3761;2.82743;1.38462;0.717949;0.333333;0.991256;-0.828949;-0.111111;1172.79;910.083;56.4751;2.38125;-4.33951;0.392601;
602.998;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-9890;8972;529;-62.2035;56.5487;2.82743;1.02564;0.820513;0.333333;0.784128;-0.777821;0.042735;1173.01;908.069;56.1367;1.71936;-3.30168;-0.338459;
633.036;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-10615;9641;561;-62.2035;62.2035;2.82743;0.923077;0.846154;0.307692;0.710154;-0.769308;0.0769231;1173.46;905.608;55.851;1.85657;-4.20432;-0.285652;
664.935;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-11348;10306;597;-65.031;56.5487;2.82743;0.871795;0.820513;0.282051;0.665769;-0.743667;0.0769231;1173.68;903.594;56.1951;1.71637;-3.30319;0.344078;
696.003;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-11703;10632;611;-62.2035;62.2035;2.82743;1.05128;0.897436;0.307692;0.784128;-0.846205;0.0512821;1173.68;903.594;56.1951;0;0;0;
726.001;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-12439;11299;640;-62.2035;65.031;0;1;0.820513;0.307692;0.577;-0.880282;-0.0598291;1173.91;901.133;55.8511;2.19724;-3.97338;-0.344002;
757.081;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-13162;11949;670;-65.031;56.5487;5.65487;0.974359;0.717949;0.435897;0.813718;-0.65818;0.0598291;1173.91;898.671;56.1367;2.51956;-3.75469;0.285568;
787.787;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-13537;12295;685;-62.2035;56.5487;2.82743;0.948718;0.74359;0.307692;0.724949;-0.709436;0.034188;1173.91;895.762;55.8511;2.99981;-4.42257;-0.285568;
819.057;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-14240;12964;716;-59.3761;56.5487;2.82743;1.12821;0.820513;0.384615;0.872898;-0.794897;0.025641;1173.91;893.525;56.7683;2.25267;-3.43829;0.917175;
851.016;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-14956;13604;750;-62.2035;53.7212;2.82743;1.28205;1.12821;0.384615;0.961667;-1.05136;0.0769231;1174.35;891.288;56.7628;1.56418;-3.8896;-0.00545883;
880.963;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-15667;14275;772;-62.2035;59.3761;2.82743;1.23077;0.74359;0.589744;1.05044;-0.709436;0.034188;1174.58;889.05;56.8279;1.90471;-3.66602;0.065052;
912.044;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-16015;14598;779;-59.3761;56.5487;2.82743;1.23077;1.05128;0.589744;1.05044;-0.914667;0.136752;1175.02;886.812;56.1383;1.60648;-3.87232;-0.689602;
941.99;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-16730;15270;799;-62.2035;56.5487;2.82743;1.28205;0.717949;0.461538;1.00605;-0.752103;-0.034188;1175.02;883.904;56.4227;2.95548;-4.45218;0.284431;
974.016;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-17456;15954;825;-65.031;62.2035;2.82743;1.10256;0.615385;0.435897;0.887692;-0.632462;-0.017094;1175.7;881.443;56.7627;1.44487;-4.45926;0.339966;
1005.78;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-17812;16285;838;-62.2035;59.3761;2.82743;0.769231;0.615385;0.333333;0.63618;-0.555615;0.0598291;1175.7;879.653;55.8511;1.84597;-2.72149;-0.911564;
1036.95;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-18543;16960;869;-65.031;59.3761;2.82743;0.923077;0.846154;0.358974;0.739744;-0.752231;0.0940171;1175.47;877.191;56.4227;2.84407;-3.53933;0.571579;
1068.99;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-19267;17623;905;-59.3761;56.5487;2.82743;1.15385;1;0.282051;0.828513;-0.957308;0.0427351;1175.7;874.282;56.7626;2.58444;-4.69557;0.339966;
1100.65;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-19962;18287;946;-62.2035;59.3761;2.82743;1.15385;0.74359;0.25641;0.813718;-0.794821;-0.051282;1175.47;872.269;56.4227;2.3893;-2.85428;-0.339931;
1132.4;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-20331;18612;964;-62.2035;59.3761;2.82743;1.07692;1;0.282051;0.784128;-0.931692;0.0683761;1175.92;869.584;56.4227;2.042;-4.56531;-1.90735e-05;
1164.2;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-21056;19287;1000;-65.031;59.3761;2.82743;1;0.717949;0.307692;0.754538;-0.70941;0.00854702;1175.92;866.899;56.4227;2.72813;-4.1097;0;
1195.87;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-21769;19951;1028;-62.2035;59.3761;2.82743;0.794872;0.641026;0.461538;0.724949;-0.538564;0.102564;1176.14;864.661;56.7087;1.91189;-3.66221;0.286049;
1226.62;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-22151;20305;1045;-62.2035;62.2035;2.82743;0.666667;0.717949;0.384615;0.60659;-0.572795;0.145299;1176.14;864.661;56.7087;0;0;0;
1256.86;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-22860;20967;1081;-62.2035;56.5487;2.82743;1.07692;0.615385;0.282051;0.784128;-0.675154;-0.0598291;1176.14;862.647;56.7628;2.02781;-3.09444;0.0540733;
1288.03;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-23592;21644;1112;-65.031;62.2035;2.82743;0.897436;0.794872;0.307692;0.695359;-0.726564;0.0683761;1176.81;860.634;56.4227;1.01692;-3.76531;-0.340134;
1319.8;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-24321;22308;1130;-59.3761;62.2035;2.82743;1.02564;1.12821;0.512821;0.887692;-0.923282;0.205128;1176.81;858.396;57.3391;2.21843;-3.46075;0.916401;
1351.54;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-24666;22627;1139;-65.031;59.3761;2.82743;1.17949;0.948718;0.512821;0.976462;-0.854795;0.0940171;1177.48;856.159;57.0543;1.19878;-4.12147;-0.284763;
1383.81;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-25380;23272;1161;-62.2035;56.5487;0;1;0.948718;0.358974;0.577;-0.965795;-0.017094;1177.48;853.698;56.992;2.46323;-3.79188;-0.0623131;
1415.74;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-26085;23930;1180;-59.3761;56.5487;2.82743;1.17949;0.897436;0.435897;0.932077;-0.846205;0.051282;1177.48;851.907;56.992;1.79148;-2.7578;0;
1446.67;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-26773;24591;1197;-62.2035;59.3761;2.82743;1.20513;1.07692;0.461538;0.961667;-0.965923;0.111111;1177.71;849.446;57.3391;2.09346;-4.02888;0.34705;
1476.59;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-27138;24916;1212;-62.2035;56.5487;2.82743;1.10256;0.820513;0.410256;0.872897;-0.77782;0.0427351;1177.71;847.209;57.3337;2.21869;-3.46045;-0.00534058;
1506.74;0.114715;-0.16383;0;-72.5046;65.5321;6.97249;-27860;25587;1248;-62.2035;53.7212;0;1.02564;0.871795;0.358974;0.591795;-0.923026;-0.0512821;1178.16;844.971;57.3337;1.5254;-3.90509;-3.8147e-05;
