Time;Set robot speed along X axis;Set robot speed along Y axis;Set rotational robot velocity;1st motor set speed;2st motor set speed;3st motor set speed;1st motor position;2nd motor position;3rd motor position;1st motor velocity;2nd motor velocity;3rd motor velocity;1st motor current;2nd motor current;3rd motor current;X axis current;Y axis curent;Rotational current;X axis global position;Y axis global position;Angle;Delta X axis local position;Delta Y axis local position;Delta angle;
ms;m/s;m/s;rad/s;rad/s;rad/s;rad/s;ticks;ticks;ticks;rad/s;rad/s;rad/s;A;A;A;A;A;A;pix;pix;deg;mm;mm;deg;
t;xsetspeed;ysetspeed;setvel;m1setvel;m2setvel;m3setvel;m1pos;m2pos;m3pos;m1vel;m2vel;m3vel;m1cur;m2cur;m3cur;xcur;ycur;rotcur;xpos;ypos;ang;dx;dy;dang;
0.0104;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;0;0;0;0;0;0;0;0;0;0;0;0;619.9;866.004;98.1294;-0.349544;0.465178;0.00520325;
37.3669;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;0;0;1;0;0;0;0.025641;0.025641;0.025641;0;0;0;619.9;865.556;98.1294;-0.11626;-0.813887;0;
68.1227;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;0;0;1;0;0;0;0.025641;0.025641;0.025641;0;0;0;619.9;866.004;98.1294;0.11626;0.813887;0;
100.144;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;12;256;-310;0;50.8938;-65.031;0.358974;1.5641;0.512821;-0.295897;-1.21403;0.350427;619.9;865.78;98.3517;-0.0597082;-0.406715;0.22229;
131.353;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;46;892;-1055;5.65487;53.7212;-65.031;0.333333;1.48718;0.692308;-0.591795;-1.11149;0.376068;619.9;865.78;98.3517;0;0;0;
163.357;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;64;1196;-1403;2.82743;53.7212;-62.2035;0.307692;1.20513;1.23077;-0.887692;-1.11121;0.0940171;620.124;864.438;98.5217;-0.772752;-2.37819;0.169952;
195.352;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;86;1850;-2125;0;56.5487;-65.031;0.487179;1.17949;0.897436;-0.517821;-1.08556;0.0940171;619.676;862.648;98.5217;0.327234;-3.37423;0;
226.113;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;115;2502;-2856;2.82743;56.5487;-62.2035;0.358974;1.05128;0.846154;-0.695359;-0.863436;0.188034;620.124;860.634;98.7457;-1.37656;-3.53131;0.224045;
257.061;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;153;3151;-3573;5.65487;56.5487;-62.2035;0.230769;0.897436;0.820513;-0.60659;-0.794974;0.102564;620.348;859.068;99.1346;-0.863406;-2.77565;0.388855;
288.729;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;179;3493;-3949;2.82743;56.5487;-62.2035;0.179487;0.871795;0.974359;-0.665769;-0.846179;0.025641;621.019;857.501;98.7458;-1.65849;-2.65623;-0.388786;
319.737;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;232;4132;-4681;5.65487;56.5487;-67.8584;0.179487;0.846154;1;-0.680564;-0.837615;0.00854703;621.69;856.606;98.9733;-1.47677;-1.43137;0.227509;
350.83;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;291;4796;-5397;5.65487;62.2035;-65.031;0.025641;1.30769;0.974359;-0.577;-1.18815;0.119658;622.585;855.711;98.9733;-1.88356;-1.36725;7.62939e-06;
382.559;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;319;5133;-5765;5.65487;56.5487;-62.2035;0.0512821;1.07692;1.17949;-0.710154;-1.094;-0.017094;622.585;853.698;99.5277;-0.612369;-3.64852;0.554443;
414.729;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;364;5778;-6461;2.82743;59.3761;-59.3761;0.179487;0.974359;1.10256;-0.739744;-0.957282;0.017094;623.256;851.907;99.3638;-1.75404;-3.04377;-0.163895;
444.526;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;412;6439;-7200;5.65487;56.5487;-65.031;0.128205;0.74359;0.948718;-0.621385;-0.769205;-0.025641;623.928;850.118;99.9191;-1.78342;-3.0264;0.555267;
474.563;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;460;7105;-7946;2.82743;56.5487;-65.031;0.179487;1.12821;0.820513;-0.577;-0.965974;0.162393;624.151;847.88;100.145;-1.12943;-3.97394;0.225815;
505.807;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;479;7433;-8303;2.82743;59.3761;-62.2035;0.333333;0.692308;0.769231;-0.63618;-0.606923;0.0854701;624.375;845.866;100.14;-1.0566;-3.56941;-0.00513458;
537.738;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;509;8104;-9027;0;56.5487;-65.031;0.410256;1.07692;0.897436;-0.517821;-1.01715;0.0598291;624.823;844.747;100.765;-1.19305;-1.86536;0.625534;
569.749;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;542;8773;-9768;2.82743;56.5487;-59.3761;0.25641;1.12821;0.846154;-0.63618;-0.948897;0.179487;624.599;842.958;100.532;-0.196178;-3.30825;-0.233505;
601.551;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;585;9404;-10464;2.82743;59.3761;-59.3761;0.205128;1.12821;1.17949;-0.798923;-1.07697;0.051282;624.375;841.168;100.765;-0.209677;-3.30753;0.233444;
631.839;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;608;9737;-10840;2.82743;56.5487;-65.031;0.128205;1.07692;0.74359;-0.503026;-0.923231;0.153846;624.375;841.168;100.765;0;0;0;
662.817;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;653;10338;-11565;2.82743;50.8938;-62.2035;0.230769;1.61538;1.02564;-0.724949;-1.34215;0.273504;625.046;840.496;101.152;-1.45063;-0.970983;0.386925;
695.043;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;701;10985;-12280;5.65487;59.3761;-65.031;0.25641;1.10256;0.74359;-0.577;-0.897641;0.205128;625.718;838.706;101.387;-1.86041;-2.97994;0.234993;
726.488;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;722;11321;-12663;5.65487;56.5487;-62.2035;0.230769;1.17949;0.846154;-0.621385;-0.991641;0.188034;625.941;837.14;101.777;-0.990322;-2.73281;0.389847;
756.939;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;763;11973;-13380;2.82743;65.031;-59.3761;0.333333;0.769231;0.820513;-0.665769;-0.675308;0.0940171;625.27;835.35;101.929;0.528876;-3.47292;0.152321;
787.52;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;792;12642;-14103;2.82743;56.5487;-65.031;0.487179;0.846154;0.794872;-0.739744;-0.666846;0.179487;624.823;833.784;101.773;0.219165;-2.98504;-0.15596;
819.54;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;805;12971;-14490;2.82743;59.3761;-65.031;0.384615;0.794872;0.794872;-0.680564;-0.666795;0.128205;625.717;832.665;102.397;-2.04994;-1.65361;0.62381;
851.535;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;842;13630;-15208;2.82743;56.5487;-62.2035;0.179487;1.12821;0.794872;-0.562205;-0.957436;0.17094;625.941;830.875;102.55;-1.11653;-3.12055;0.152359;
883.709;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;880;14298;-15936;2.82743;59.3761;-62.2035;0.307692;1.05128;1.17949;-0.858103;-0.991513;0.059829;626.165;829.532;102.787;-0.947613;-2.3141;0.237747;
915.664;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;919;14969;-16681;2.82743;53.7212;-62.2035;0.282051;1.33333;1;-0.739744;-1.12841;0.205128;626.612;828.19;102.787;-1.34897;-2.2229;0;
947.551;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;943;15276;-17038;2.82743;59.3761;-67.8584;0.128205;1.46154;0.871795;-0.577;-1.22246;0.239316;627.284;826.176;102.4;-2.00102;-3.34797;-0.387619;
979.811;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;991;15939;-17781;5.65487;56.5487;-62.2035;0.307692;0.820513;0.717949;-0.591795;-0.683897;0.136752;627.508;824.61;103.17;-1.0566;-2.70801;0.770424;
1009.54;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;1024;16592;-18524;2.82743;59.3761;-62.2035;0.435897;0.641026;0.666667;-0.63618;-0.50441;0.136752;628.179;822.372;103.021;-2.12985;-3.72657;-0.148766;
1041.54;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;1055;17287;-19245;2.82743;65.031;-62.2035;0.358974;0.846154;0.871795;-0.710154;-0.735154;0.111111;627.955;819.688;103.558;-0.756035;-4.89186;0.536453;
1073.69;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;1066;17623;-19611;0;59.3761;-62.2035;0.410256;0.538462;0.974359;-0.562205;-0.683615;-0.145299;628.403;817.674;103.797;-1.68212;-3.3964;0.23893;
1105.82;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;1096;18304;-20315;2.82743;62.2035;-62.2035;0.307692;1.12821;0.974359;-0.739744;-0.974513;0.153846;629.297;815.66;104.036;-2.49522;-3.18975;0.238876;
1136.78;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;1134;18950;-21044;2.82743;53.7212;-62.2035;0.282051;1.23077;0.923077;-0.695359;-1.03438;0.196581;629.297;815.66;104.036;0;0;0;
1166.55;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;1179;19598;-21761;2.82743;59.3761;-67.8584;0.179487;1.12821;1.05128;-0.710154;-1.04282;0.0854701;630.193;814.094;103.797;-2.28595;-2.40167;-0.238892;
1197.56;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;1201;19909;-22119;5.65487;59.3761;-65.031;0.282051;0.948718;0.871795;-0.665769;-0.829179;0.119658;631.088;812.975;104.421;-2.10719;-1.58027;0.624092;
1229.57;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;1246;20556;-22861;2.82743;53.7212;-62.2035;0.153846;1.23077;0.717949;-0.503026;-1.00877;0.222222;631.759;811.409;104.418;-1.913;-2.47915;-0.00238037;
1261.77;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;1276;21207;-23597;2.82743;56.5487;-62.2035;0.384615;1.10256;0.846154;-0.710154;-0.889103;0.213675;632.43;808.948;104.033;-2.29491;-4.08721;-0.385086;
1292.61;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;1289;21530;-23952;0;59.3761;-65.031;0.410256;1.07692;1.02564;-0.591795;-1.05985;0.017094;632.43;807.381;104.662;-0.728351;-2.78382;0.628738;
1324.94;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;1310;22198;-24696;0;65.031;-65.031;0.410256;0.948718;0.948718;-0.54741;-0.948718;0;632.206;805.815;105.046;-0.349262;-2.88567;0.383888;
1356.9;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;1344;22849;-25404;2.82743;59.3761;-59.3761;0.307692;0.74359;1.12821;-0.828513;-0.769205;-0.025641;631.982;804.025;105.291;-0.469992;-3.28067;0.24472;
1387.83;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;1381;23528;-26137;2.82743;59.3761;-65.031;0.307692;0.794872;1.05128;-0.784128;-0.777795;0.017094;631.535;802.459;106.189;-0.0112874;-2.99305;0.897957;
1418.77;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;1402;23877;-26505;5.65487;59.3761;-62.2035;0.230769;0.74359;1.10256;-0.769333;-0.786282;-0.042735;632.206;800.669;105.673;-2.07787;-2.83247;-0.515823;
1450.82;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;1447;24529;-27217;2.82743;59.3761;-62.2035;0.102564;1.02564;0.820513;-0.532615;-0.92318;0.102564;633.325;799.326;105.81;-2.65305;-1.81217;0.137466;
1482.87;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;1500;25176;-27951;2.82743;53.7212;-65.031;0.230769;1.15385;0.923077;-0.665769;-1.00015;0.153846;633.772;797.536;105.917;-1.69392;-2.93651;0.107193;
1513.88;-0.114715;-0.16383;0;6.97245;65.5322;-72.5046;1546;25834;-28677;5.65487;59.3761;-59.3761;0.230769;0.923077;1.10256;-0.769333;-0.906;0.017094;633.549;795.522;105.917;-0.618621;-3.67076;-7.62939e-06;
