Measurement number,Wheel 1 load,Wheel 2 load,Wheel 3 load
none,g,g,g
num,w1load,w2load,w3load
1,3861,4663,4069
2,3353,4630,4238
3,3981,5200,3517
4,3998,5200,3762
5,4235,5200,3527
