Time;Set robot speed along X axis;Set robot speed along Y axis;Set rotational robot velocity;1st motor set speed;2st motor set speed;3st motor set speed;1st motor position;2nd motor position;3rd motor position;1st motor velocity;2nd motor velocity;3rd motor velocity;1st motor current;2nd motor current;3rd motor current;X axis current;Y axis curent;Rotational current;X axis global position;Y axis global position;Angle;Delta X axis local position;Delta Y axis local position;Delta angle;
ms;m/s;m/s;rad/s;rad/s;rad/s;rad/s;ticks;ticks;ticks;rad/s;rad/s;rad/s;A;A;A;A;A;A;pix;pix;deg;mm;mm;deg;
t;xsetspeed;ysetspeed;setvel;m1setvel;m2setvel;m3setvel;m1pos;m2pos;m3pos;m1vel;m2vel;m3vel;m1cur;m2cur;m3cur;xcur;ycur;rotcur;xpos;ypos;ang;dx;dy;dang;
0.0278;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;0;0;0;0;0;0;0;0;0;0;0;0;831.344;944.54;343.486;-0.277062;-0.511672;0.389374;
22.0056;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;0;0;0;0;0;0;0.025641;0.025641;0.025641;0;0;0;831.344;944.54;343.486;0;0;0;
54.0751;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;0;0;0;0;0;0;0.025641;0.025641;0.025641;0;0;0;831.344;944.54;343.486;0;-0;0;
83.769;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;0;0;0;0;0;0;0.025641;0.025641;0.025641;0;0;0;831.12;944.316;343.097;0.273578;0.513543;-0.389374;
113.97;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-110;-31;155;-25.4469;-8.4823;22.6195;1.07692;0.307692;1.23077;1.33154;0.256462;-0.051282;831.12;944.316;343.097;0;-0;0;
145.993;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-381;-108;497;-22.6195;-5.65487;31.1018;0.589744;0.307692;1;0.917282;0.341846;0.034188;831.567;943.869;343.478;1.02229;-0.555728;0.380707;
177.975;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-672;-182;897;-25.4469;-8.4823;36.7566;0.230769;0.230769;0.0769231;0.177538;0.102692;-0.128205;831.791;942.079;343.23;3.26756;0.554535;-0.24704;
209.8;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-830;-227;1095;-25.4469;-5.65487;36.7566;0.358974;0.128205;0.179487;0.310692;0.0257436;-0.102564;831.791;940.289;343.23;3.14863;0.948802;0;
242.03;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-1133;-304;1503;-28.2743;-8.4823;33.9292;0.025641;0.102564;0.153846;0.103564;0.111103;0.00854701;831.344;938.946;343.23;2.12385;1.50008;3.05176e-05;
272.962;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-1440;-383;1895;-28.2743;-5.65487;36.7566;0.179487;0.179487;0.0769231;0.147949;0.0855641;-0.0940171;832.015;937.38;342.841;3.11389;-0.331416;-0.389252;
304.791;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-1741;-461;2303;-25.4469;-5.65487;33.9292;0.410256;0.307692;0.153846;0.325487;0.119846;-0.188034;832.462;936.261;343.477;2.20473;-0.205082;0.636169;
335.078;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-1880;-497;2501;-25.4469;-5.65487;33.9292;0.307692;0.230769;0.102564;0.236718;0.0856154;-0.145299;832.239;934.695;343.486;2.64166;1.21272;0.00872803;
366.947;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-2183;-573;2902;-28.2743;-5.65487;33.9292;0.25641;0.102564;0.230769;0.281103;0.0598718;-0.042735;832.462;932.905;343.731;3.27217;0.525951;0.244598;
398.726;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-2487;-655;3301;-31.1018;-5.65487;36.7566;0.282051;0.102564;0.384615;0.384667;0.102564;0;832.462;931.786;343.868;1.97444;0.571077;0.137543;
431.066;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-2630;-695;3499;-25.4469;-8.4823;31.1018;0.205128;0.153846;0.205128;0.236718;0.102615;-0.0512821;832.462;930.22;343.731;2.76219;0.806109;-0.137543;
462.917;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-2932;-776;3893;-25.4469;-5.65487;36.7566;0.282051;0.153846;0.230769;0.295897;0.0855385;-0.0683761;832.462;930.22;343.731;0;0;0;
493.545;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-3229;-863;4291;-25.4469;-8.4823;33.9292;0.333333;0.0512821;0.358974;0.399462;0.0427436;-0.00854701;832.462;929.101;343.868;1.97444;0.571077;0.137543;
525.54;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-3522;-961;4695;-25.4469;-8.4823;39.5841;0.307692;0.0769231;0.307692;0.355077;0.0513077;-0.025641;832.239;927.535;343.486;2.64177;1.21275;-0.382111;
556.285;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-3674;-1004;4890;-25.4469;-8.4823;36.7566;0.25641;0.0769231;0.0512821;0.177538;-0.017;-0.0940171;832.462;925.969;343.478;2.87571;0.423503;-0.00866699;
588.666;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-3971;-1090;5289;-25.4469;-8.4823;33.9292;0.230769;0.0512821;0.384615;0.355077;0.0854359;0.034188;832.462;924.626;343.868;2.36933;0.685292;0.390778;
619.135;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-4256;-1177;5672;-28.2743;-8.4823;36.7566;0.230769;0.0512821;0.410256;0.369872;0.0939744;0.042735;832.239;923.06;343.486;2.64166;1.21272;-0.382141;
650.117;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-4557;-1262;6073;-22.6195;-8.4823;39.5841;0.410256;0.205128;0.25641;0.384667;0.0855897;-0.119658;832.462;921.494;343.478;2.87571;0.423501;-0.00860596;
682.202;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-4698;-1301;6275;-25.4469;-8.4823;31.1018;0.333333;0.128205;0.487179;0.473436;0.136744;0.008547;832.239;920.375;343.486;1.85353;0.979058;0.00860596;
713.183;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-4992;-1387;6654;-25.4469;-5.65487;33.9292;0.384615;0.102564;0.333333;0.414256;0.0513333;-0.051282;832.686;918.809;343.23;2.99268;0.0415989;-0.255676;
744.982;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-5289;-1468;7045;-25.4469;-5.65487;33.9292;0.333333;0.282051;0.307692;0.369872;0.17959;-0.102564;832.686;917.242;343.861;2.76411;0.799882;0.630066;
777.136;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-5584;-1540;7437;-25.4469;-8.4823;36.7566;0.384615;0.282051;0.282051;0.384667;0.153974;-0.128205;832.91;915.9;342.841;2.47805;0.334134;-1.01926;
809.235;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-5727;-1576;7626;-25.4469;-5.65487;36.7566;0.384615;0.25641;0.435897;0.473436;0.188103;-0.0683761;833.134;914.557;343.476;2.48171;0.306698;0.634644;
841.033;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-6025;-1652;8016;-25.4469;-8.4823;33.9292;0.358974;0.25641;0.538462;0.517821;0.230795;-0.025641;833.357;913.439;343.478;2.08751;0.189689;0.00161743;
873.106;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-6313;-1727;8402;-22.6195;-5.65487;36.7566;0.410256;0.230769;0.512821;0.532615;0.188077;-0.042735;833.357;911.872;343.614;2.76064;0.81179;0.136017;
903.168;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-6611;-1799;8781;-25.4469;-5.65487;33.9292;0.179487;0.205128;0.333333;0.295897;0.188051;-0.017094;833.357;911.872;343.614;0;0;0;
935.124;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-6769;-1840;8986;-28.2743;-8.4823;31.1018;0.25641;0.230769;0.435897;0.399462;0.213692;-0.017094;833.357;910.53;343.731;2.36757;0.690946;0.117188;
967.199;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-7060;-1917;9364;-22.6195;-5.65487;33.9292;0.487179;0.102564;0.384615;0.503026;0.0342564;-0.0683761;833.581;909.188;343.861;2.48371;0.290033;0.129761;
999.163;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-7359;-1997;9752;-25.4469;-5.65487;28.2743;0.307692;0.25641;0.538462;0.488231;0.247872;-0.00854701;833.357;907.845;343.731;2.2522;1.08627;-0.129761;
1030.24;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-7506;-2032;9956;-25.4469;-8.4823;36.7566;0.384615;0.179487;0.205128;0.340282;0.0599487;-0.119658;833.581;906.055;343.975;3.27449;0.512009;0.244598;
1060.28;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-7802;-2115;10334;-22.6195;-5.65487;31.1018;0.384615;0.0769231;0.25641;0.369872;0.00861539;-0.0683761;833.357;905.16;343.731;1.46308;0.855974;-0.244598;
1090.22;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-8102;-2215;10729;-28.2743;-8.4823;33.9292;0.307692;0.0769231;0.333333;0.369872;0.0598461;-0.017094;833.581;903.37;343.486;3.26989;0.539914;-0.244537;
1120.24;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-8400;-2299;11124;-25.4469;-8.4823;33.9292;0.25641;0.153846;0.205128;0.266308;0.0855385;-0.0683761;833.581;902.028;343.861;2.36913;0.685583;0.374298;
1151.28;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-8547;-2342;11315;-25.4469;-5.65487;33.9292;0.333333;0.025641;0.153846;0.281103;-0.0426667;-0.0683761;833.357;900.685;343.731;2.25231;1.0863;-0.129761;
1183.22;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-8849;-2425;11709;-25.4469;-8.4823;33.9292;0.282051;0.153846;0.435897;0.414256;0.153846;-9.93411e-09;833.805;899.566;344.252;2.20165;-0.234902;0.521362;
1215.08;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-9148;-2512;12104;-25.4469;-5.65487;33.9292;0.0512821;0.153846;0.333333;0.221923;0.196538;0.042735;834.029;898.224;343.231;2.48037;0.317318;-1.02145;
1246.98;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-9305;-2552;12295;-25.4469;-5.65487;33.9292;0.230769;0.0769231;0.307692;0.310692;0.0769231;0;834.029;896.434;343.231;3.14864;0.94879;3.05176e-05;
1278.14;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-9600;-2639;12692;-25.4469;-8.4823;33.9292;0.410256;0.179487;0.179487;0.340282;0.0428718;-0.136752;834.253;895.091;343.868;2.48375;0.289697;0.637573;
1310.19;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-9897;-2726;13085;-25.4469;-5.65487;33.9292;0.153846;0.0769231;0.333333;0.281103;0.111077;0.034188;834.029;893.525;343.486;2.64166;1.21272;-0.38208;
1342.17;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-10192;-2802;13466;-25.4469;-5.65487;31.1018;0.230769;0.205128;0.384615;0.355077;0.188051;-0.017094;834.029;893.525;343.486;0;0;0;
1372.94;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-10335;-2847;13667;-25.4469;-8.4823;36.7566;0.435897;0.128205;0.410256;0.488231;0.0769744;-0.0512821;834.476;890.393;343.861;3.27335;0.518539;0.246979;
1403.08;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-10634;-2931;14051;-25.4469;-8.4823;33.9292;0.25641;0.0769231;0.025641;0.162744;-0.0255385;-0.102564;834.476;888.826;343.231;2.75515;0.830221;-0.629852;
1434.11;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-10941;-3012;14453;-25.4469;-8.4823;33.9292;0.128205;0.25641;0.282051;0.236718;0.222256;-0.034188;834.7;887.708;344.505;2.09058;0.152244;1.27386;
1463.84;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-11086;-3048;14644;-25.4469;-8.4823;36.7566;0.461538;0.25641;0.25641;0.414256;0.102718;-0.153846;835.148;886.365;343.731;2.59842;-0.0996656;-0.773773;
1494.52;0.0965926;0.0258819;0;-28.2843;-10.3528;38.637;-11386;-3132;15037;-25.4469;-5.65487;36.7566;0.282051;0.0512821;0.282051;0.325487;0.0342051;-0.017094;835.148;886.365;343.731;0;0;0;
